ML Method,Encoding Method,Metric,Value
SVM,mestimate,Average F1 score,0.51
AdaBoost_SAMME,mestimate,Average Accuracy,0.54
DecisionTree,mestimate,Average Accuracy,0.56
GaussianNB,mestimate,Average Accuracy,0.42
KNN,mestimate,Average Accuracy,0.54
LogisticRegression,mestimate,Average Accuracy,0.54
MLP,mestimate,Average Accuracy,0.54
NeuralNetwork,mestimate,Average Accuracy,0.56
RandomForest,mestimate,Average Accuracy,0.57
SVM,mestimate,Average Accuracy,0.56
AdaBoost_SAMME,mestimate,Average Precision,0.47
DecisionTree,mestimate,Average Precision,0.5
GaussianNB,mestimate,Average Precision,0.55
KNN,mestimate,Average Precision,0.49
LogisticRegression,mestimate,Average Precision,0.44
MLP,mestimate,Average Precision,0.42
NeuralNetwork,mestimate,Average Precision,0.42
RandomForest,mestimate,Average Precision,0.51
SVM,mestimate,Average Precision,0.53
AdaBoost_SAMME,mestimate,Average Recall,0.54
DecisionTree,mestimate,Average Recall,0.56
GaussianNB,mestimate,Average Recall,0.42
KNN,mestimate,Average Recall,0.54
LogisticRegression,mestimate,Average Recall,0.54
MLP,mestimate,Average Recall,0.54
NeuralNetwork,mestimate,Average Recall,0.56
RandomForest,mestimate,Average Recall,0.57
SVM,mestimate,Average Recall,0.56
AdaBoost_SAMME,mestimate,Average MCC,0.23
DecisionTree,mestimate,Average MCC,0.26
GaussianNB,mestimate,Average MCC,0.24
KNN,mestimate,Average MCC,0.27
LogisticRegression,mestimate,Average MCC,0.23
MLP,mestimate,Average MCC,0.18
NeuralNetwork,mestimate,Average MCC,0.21
RandomForest,mestimate,Average MCC,0.28
SVM,mestimate,Average MCC,0.27
AdaBoost_SAMME,onehot,Average F1 score,0.45
DecisionTree,onehot,Average F1 score,0.5
GaussianNB,onehot,Average F1 score,0.25
KNN,onehot,Average F1 score,0.51
LogisticRegression,onehot,Average F1 score,0.45
MLP,onehot,Average F1 score,0.49
NeuralNetwork,onehot,Average F1 score,0.45
RandomForest,onehot,Average F1 score,0.51
SVM,onehot,Average F1 score,0.49
AdaBoost_SAMME,onehot,Average Accuracy,0.52
DecisionTree,onehot,Average Accuracy,0.55
GaussianNB,onehot,Average Accuracy,0.22
KNN,onehot,Average Accuracy,0.55
LogisticRegression,onehot,Average Accuracy,0.52
MLP,onehot,Average Accuracy,0.56
NeuralNetwork,onehot,Average Accuracy,0.53
RandomForest,onehot,Average Accuracy,0.56
SVM,onehot,Average Accuracy,0.55
AdaBoost_SAMME,onehot,Average Precision,0.47
DecisionTree,onehot,Average Precision,0.49
GaussianNB,onehot,Average Precision,0.45
KNN,onehot,Average Precision,0.5
LogisticRegression,onehot,Average Precision,0.45
MLP,onehot,Average Precision,0.51
NeuralNetwork,onehot,Average Precision,0.42
RandomForest,onehot,Average Precision,0.51
SVM,onehot,Average Precision,0.48
AdaBoost_SAMME,onehot,Average Recall,0.52
DecisionTree,onehot,Average Recall,0.55
GaussianNB,onehot,Average Recall,0.22
KNN,onehot,Average Recall,0.55
LogisticRegression,onehot,Average Recall,0.52
MLP,onehot,Average Recall,0.56
NeuralNetwork,onehot,Average Recall,0.53
RandomForest,onehot,Average Recall,0.56
SVM,onehot,Average Recall,0.55
AdaBoost_SAMME,onehot,Average MCC,0.19
DecisionTree,onehot,Average MCC,0.25
GaussianNB,onehot,Average MCC,0.12
KNN,onehot,Average MCC,0.27
LogisticRegression,onehot,Average MCC,0.18
MLP,onehot,Average MCC,0.27
NeuralNetwork,onehot,Average MCC,0.17
RandomForest,onehot,Average MCC,0.26
SVM,onehot,Average MCC,0.25
AdaBoost_SAMME,ordinal,Average F1 score,0.48
DecisionTree,ordinal,Average F1 score,0.5
GaussianNB,ordinal,Average F1 score,0.39
KNN,ordinal,Average F1 score,0.55
LogisticRegression,ordinal,Average F1 score,0.41
MLP,ordinal,Average F1 score,0.41
NeuralNetwork,ordinal,Average F1 score,0.41
RandomForest,ordinal,Average F1 score,0.52
SVM,ordinal,Average F1 score,0.47
AdaBoost_SAMME,ordinal,Average Accuracy,0.54
DecisionTree,ordinal,Average Accuracy,0.56
GaussianNB,ordinal,Average Accuracy,0.37
KNN,ordinal,Average Accuracy,0.58
LogisticRegression,ordinal,Average Accuracy,0.51
MLP,ordinal,Average Accuracy,0.51
NeuralNetwork,ordinal,Average Accuracy,0.53
RandomForest,ordinal,Average Accuracy,0.57
SVM,ordinal,Average Accuracy,0.54
AdaBoost_SAMME,ordinal,Average Precision,0.52
DecisionTree,ordinal,Average Precision,0.5
GaussianNB,ordinal,Average Precision,0.53
KNN,ordinal,Average Precision,0.56
LogisticRegression,ordinal,Average Precision,0.37
MLP,ordinal,Average Precision,0.36
NeuralNetwork,ordinal,Average Precision,0.37
RandomForest,ordinal,Average Precision,0.53
SVM,ordinal,Average Precision,0.45
AdaBoost_SAMME,ordinal,Average Recall,0.54
DecisionTree,ordinal,Average Recall,0.56
GaussianNB,ordinal,Average Recall,0.37
KNN,ordinal,Average Recall,0.58
LogisticRegression,ordinal,Average Recall,0.51
MLP,ordinal,Average Recall,0.51
NeuralNetwork,ordinal,Average Recall,0.53
RandomForest,ordinal,Average Recall,0.57
SVM,ordinal,Average Recall,0.54
AdaBoost_SAMME,ordinal,Average MCC,0.24
DecisionTree,ordinal,Average MCC,0.25
GaussianNB,ordinal,Average MCC,0.21
KNN,ordinal,Average MCC,0.33
LogisticRegression,ordinal,Average MCC,0.12
MLP,ordinal,Average MCC,0.11
NeuralNetwork,ordinal,Average MCC,0.1
RandomForest,ordinal,Average MCC,0.28
SVM,ordinal,Average MCC,0.2
AdaBoost_SAMME,polynomial,Average F1 score,0.46
